player_name,age,position,matches_played,minutes_played,league,team_rank,contract_years_left,goals,assists,saves,clean_sheets,tackles,interceptions,market_value_million_eur
Player_0,21,DEF,,646,Premier League,15,0,0,1,0,20,,65,16.6
Player_1,19,FWD,32,1534,La Liga,10,1,26,3,0,0,15,20,28
Player_2,22,MID,26,492,Ligue 1,20,1,7,8,0,0,71,10,16.6
Player_3,18,MID,26,546,Serie A,1,3,4,14,0,0,27,69,21
Player_4,22,DEF,36,1596,La Liga,1,2,,3,0,30,37,59,25.6
Player_5,23,DEF,35,1611,Bundesliga,1,3,1,5,0,35,106,29,26.1
Player_6,19,GK,35,3188,Ligue 1,11,,0,0,175,24,0,0,26.95
Player_7,18,FWD,12,2534,Ligue 1,12,0,12,13,0,0,28,23,23.2
Player_8,21,MID,,3349,Bundesliga,15,,0,10,0,0,16,63,14.2
Player_9,24,MID,36,2277,Ligue 1,14,4,4,11,0,0,19,61,17.2
Player_10,18,GK,14,2658,Premier League,1,0,0,0,42,3,0,0,16
Player_11,18,FWD,33,2883,Ligue 1,1,2,17,0,0,0,4,22,23.2
Player_12,25,FWD,24,181,Premier League,6,4,28,14,0,0,10,22,34.4
Player_13,33,DEF,15,2214,Ligue 1,3,2,1,5,0,8,50,57,17.6
Player_14,30,DEF,31,941,Serie A,14,3,4,1,0,4,60,28,14.4
Player_15,35,DEF,17,1357,Serie A,6,3,,0,0,7,,78,15.3
Player_16,27,DEF,12,934,La Liga,8,0,4,3,0,0,26,26,15.2
Player_17,29,MID,22,756,Serie A,20,4,9,3,0,0,36,33,15.8
Player_18,18,DEF,23,1843,Bundesliga,15,,5,3,0,14,24,37,18.6
Player_19,27,DEF,26,1048,La Liga,17,2,4,3,0,19,40,,19.1
Player_20,26,MID,14,1078,Serie A,9,1,12,14,0,0,77,38,24.2
Player_21,20,DEF,12,886,Premier League,16,,4,1,0,12,25,47,16.4
Player_22,26,DEF,4,1775,Ligue 1,1,5,0,0,0,4,64,79,14.2
Player_23,27,DEF,13,1954,Serie A,16,3,1,1,0,3,54,,11.9
Player_24,33,MID,18,177,Premier League,19,5,4,8,0,0,76,17,15
Player_25,35,FWD,28,1731,La Liga,9,1,34,11,0,0,29,13,36.2
Player_26,31,DEF,19,3052,Ligue 1,17,3,2,4,0,17,106,88,17.7
Player_27,20,MID,3,1407,Serie A,6,,1,7,0,0,64,22,15.4
Player_28,19,MID,,2232,La Liga,14,2,3,8,0,0,57,34,15.4
Player_29,18,GK,20,640,Serie A,18,3,0,0,60,11,0,0,15.9
Player_30,35,MID,25,2536,La Liga,14,4,12,12,0,0,76,64,22.4
Player_31,26,DEF,11,2904,Serie A,7,3,,5,0,2,22,10,16.2
Player_32,30,GK,17,1167,Premier League,10,4,0,0,68,12,0,0,18.2
Player_33,19,FWD,35,2041,Bundesliga,16,3,,5,0,0,24,0,19.2
